Name,Card Link,Collector Number,Rarity,Domain 1,Domain 2,types,Subtype 1,Subtype 2,Subtype 3,Subtype 4,Subtype 5,supertypes,cmc,Energy,Power,Total Cost,Might,Description,ALT TEXT,Tags
"Lee Sin, Blind Monk",https://riftdecks.com/cards/details-lee-sin-blind-monk,OGN-304/298,showcase,calm,body,legend,leesin,,,,,legend,,,,-,,"[1], [T]: Buff a friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)","Riftbound Legend: Blind Monk. [1], [T]: Buff a friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)",
"Viktor, Herald of the Arcane",https://riftdecks.com/cards/details-viktor-herald-of-the-arcane,OGN-308/298,showcase,mind,order,legend,viktor,,,,,legend,,,,-,,"[1], [T]: Play a 1 [S] Recruit unit token.","Riftbound Legend: Herald of the Arcane. [1], [T]: Play a 1 [S] Recruit unit token.",
"Miss Fortune, Bounty Hunter",https://riftdecks.com/cards/details-miss-fortune-bounty-hunter,OGN-309/298,showcase,body,chaos,legend,missfortune,,,,,legend,,,,-,,[T]: Give a unit [Ganking] this turn. (It can move from battlefield to battlefield.),Riftbound Legend: Bounty Hunter. [T]: Give a unit [Ganking] this turn. (It can move from battlefield to battlefield.),
"Sett, The Boss",https://riftdecks.com/cards/details-sett-the-boss,OGN-310/298,showcase,body,order,legend,sett,,,,,legend,,,,-,,"When a buffed unit you control would die, you may pay [C] and exhaust me to spend its buff and recall it exhausted instead. (Send it to base. This isn't a move.)
When you conquer, ready me.","Riftbound Legend: The Boss. When a buffed unit you control would die, you may pay [C] and exhaust me to spend its buff and recall it exhausted instead. (Send it to base. This isn't a move.)
When you conquer, ready me.",
"Annie, Fiery",https://riftdecks.com/cards/details-annie-fiery,OGS-001/024,epic,fury,,unit,annie,noxus,,,,champion,5,5,C,5C,4,Your spells and abilities deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),"Riftbound Unit: Annie, Fiery. Your spells and abilities deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.)",
Firestorm,https://riftdecks.com/cards/details-firestorm,OGS-002/024,uncommon,fury,,spell,,,,,,,6,6,C,6C,,Deal 3 to all enemy units at a battlefield.,Riftbound Spell: Firestorm. Deal 3 to all enemy units at a battlefield.,
Incinerate,https://riftdecks.com/cards/details-incinerate,OGS-003/024,common,fury,,spell,,,,,,,2,2,,2,,"[Action] (Play on your turn or in showdowns.)
Deal 2 to a unit at a battlefield.","Riftbound Spell: Incinerate. [Action] (Play on your turn or in showdowns.)
Deal 2 to a unit at a battlefield.",
"Master Yi, Meditative",https://riftdecks.com/cards/details-master-yi-meditative,OGS-004/024,rare,calm,,unit,masteryi,ionia,,,,champion,5,5,C,5C,4,"While you have 8+ runes, I have +4 [S].","Riftbound Unit: Yi, Meditative. While you have 8+ runes, I have +4 [S].",
Zephyr Sage,https://riftdecks.com/cards/details-zephyr-sage,OGS-005/024,uncommon,calm,,unit,ionia,bird,,,,,6,6,C,6C,6,[Shield] (+1 [S] while I'm a defender.),Riftbound Unit: Zephyr Sage. [Shield] (+1 [S] while I'm a defender.),
"Lux, Illuminated",https://riftdecks.com/cards/details-lux-illuminated,OGS-006/024,rare,mind,,unit,lux,demacia,,,,champion,6,6,C,6C,5,"When you play a spell that costs [5] or more, give me +3 [S] this turn.","Riftbound Unit: Lux, Illuminated. When you play a spell that costs [5] or more, give me +3 [S] this turn.",
"Garen, Rugged",https://riftdecks.com/cards/details-garen-rugged,OGS-007/024,rare,body,,unit,elite,garen,demacia,,,champion,6,6,C,6C,5,"[Assault 2], [Shield 2] (+2 [S] while I'm an attacker or defender.)","Riftbound Unit: Garen, Rugged. [Assault 2], [Shield 2] (+2 [S] while I'm an attacker or defender.)",
Gentlemen's Duel,https://riftdecks.com/cards/details-gentlemens-duel,OGS-008/024,common,body,,spell,,,,,,,6,6,C,6C,,"[Action] (Play on your turn or in showdowns.)
Give a friendly unit +3 [S] this turn. Then choose an enemy unit. They deal damage equal to their Mights to each other.","Riftbound Spell: Gentlemen's Duel. [Action] (Play on your turn or in showdowns.)
Give a friendly unit +3 [S] this turn. Then choose an enemy unit. They deal damage equal to their Mights to each other.",
"Master Yi, Honed",https://riftdecks.com/cards/details-master-yi-honed,OGS-009/024,epic,body,,unit,masteryi,ionia,,,,champion,7,7,C,7C,6,"[Ganking] (I can move from battlefield to battlefield.)
I enter ready.","Riftbound Unit: Yi, Honed. [Ganking] (I can move from battlefield to battlefield.)
I enter ready.",
"Annie, Stubborn",https://riftdecks.com/cards/details-annie-stubborn,OGS-010/024,rare,chaos,,unit,annie,noxus,,,,champion,4,4,C,4C,3,"When you play me, return a spell from your trash to your hand.","Riftbound Unit: Annie, Stubborn. When you play me, return a spell from your trash to your hand.",
Flash,https://riftdecks.com/cards/details-flash,OGS-011/024,common,chaos,,spell,,,,,,,2,2,,2,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Move up to 2 friendly units to base.","Riftbound Spell: Flash. [Reaction] (Play any time, even before spells and abilities resolve.)
Move up to 2 friendly units to base.",
Blast of Power,https://riftdecks.com/cards/details-blast-of-power,OGS-012/024,common,order,,spell,,,,,,,6,6,C,6C,,"[Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield.","Riftbound Spell: Blast of Power. [Action] (Play on your turn or in showdowns.)
Kill a unit at a battlefield.",
"Garen, Commander",https://riftdecks.com/cards/details-garen-commander,OGS-013/024,epic,order,,unit,elite,garen,demacia,,,champion,6,6,C,6C,5,Other friendly units have +1 [S] here.,"Riftbound Unit: Garen, Commander. Other friendly units have +1 [S] here.",
"Lux, Crownguard",https://riftdecks.com/cards/details-lux-crownguard,OGS-014/024,epic,order,,unit,lux,demacia,,,,champion,4,4,,4,2,[T]: [Reaction] — [Add] [2]. Use only to play spells. (Abilities that add resources can't be reacted to.),"Riftbound Unit: Lux, Crownguard. [T]: [Reaction] — [Add] [2]. Use only to play spells. (Abilities that add resources can't be reacted to.)",
Recruit the Vanguard,https://riftdecks.com/cards/details-recruit-the-vanguard,OGS-015/024,uncommon,order,,spell,,,,,,,6,6,,6,,"[Action] (Play on your turn or in showdowns.)
Play four 1 [S] Recruit unit tokens. (They can be played to your base or to battlefields you control.)","Riftbound Spell: Recruit the Vanguard. [Action] (Play on your turn or in showdowns.)
Play four 1 [S] Recruit unit tokens. (They can be played to your base or to battlefields you control.)",
Vanguard Attendant,https://riftdecks.com/cards/details-vanguard-attendant,OGS-016/024,common,order,,unit,elite,demacia,,,,,6,6,C,6C,5,I enter ready.,Riftbound Unit: Vanguard Attendant. I enter ready.,
"Annie, Dark Child",https://riftdecks.com/cards/details-annie-dark-child,OGS-017/024,rare,fury,chaos,legend,annie,,,,,legend,,,,-,,"At the end of your turn, ready 2 runes.","Riftbound Legend: Dark Child - Starter. At the end of your turn, ready 2 runes.",
Tibbers,https://riftdecks.com/cards/details-tibbers,OGS-018/024,epic,fury,chaos,unit,annie,,,,,signature,8,8,CC,8CC,7,"When you play me, deal 3 to all units at battlefields.","Riftbound Unit: Tibbers. When you play me, deal 3 to all units at battlefields.",
"Master Yi, Wuju Bladesman",https://riftdecks.com/cards/details-master-yi-wuju-bladesman,OGS-019/024,rare,calm,body,legend,masteryi,,,,,legend,,,,-,,"While a friendly unit defends alone, it gets +2 [S].","Riftbound Legend: Wuju Bladesman - Starter. While a friendly unit defends alone, it gets +2 [S].",
Highlander,https://riftdecks.com/cards/details-highlander,OGS-020/024,epic,calm,body,spell,masteryi,,,,,signature,4,4,,4,,"[Reaction] (Play any time, even before spells and abilities resolve.)
Choose a friendly unit. The next time it dies this turn, recall it exhausted instead. (Send it to base. This isn't a move.)","Riftbound Spell: Highlander. [Reaction] (Play any time, even before spells and abilities resolve.)
Choose a friendly unit. The next time it dies this turn, recall it exhausted instead. (Send it to base. This isn't a move.)",
"Lux, Lady of Luminosity",https://riftdecks.com/cards/details-lux-lady-of-luminosity,OGS-021/024,rare,mind,order,legend,lux,,,,,legend,,,,,,"When you play a spell that costs [5] or more, draw 1.","Riftbound Legend: Lady of Luminosity - Starter. When you play a spell that costs [5] or more, draw 1.",
Final Spark,https://riftdecks.com/cards/details-final-spark,OGS-022/024,epic,mind,order,spell,lux,,,,,signature,8,8,,8,,"[Action] (Play on your turn or in showdowns.)
Deal 8 to a unit.","Riftbound Spell: Final Spark. [Action] (Play on your turn or in showdowns.)
Deal 8 to a unit.",
"Garen, Might of Demacia",https://riftdecks.com/cards/details-garen-might-of-demacia,OGS-023/024,rare,body,order,legend,garen,,,,,legend,,,,-,,"When you conquer, if you have 4+ units at that battlefield, draw 2.","Riftbound Legend: Might of Demacia - Starter. When you conquer, if you have 4+ units at that battlefield, draw 2.",
Decisive Strike,https://riftdecks.com/cards/details-decisive-strike,OGS-024/024,epic,body,order,spell,garen,,,,,signature,5,5,C,5C,,"[Action] (Play on your turn or in showdowns.)
Give friendly units +2 [S] this turn.","Riftbound Spell: Decisive Strike. [Action] (Play on your turn or in showdowns.)
Give friendly units +2 [S] this turn.",
Against the Odds,https://riftdecks.com/cards/details-against-the-odds,SFD-001/221,common,fury,,spell,,,,,,,2,2,,2,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
Give a friendly unit at a battlefield +2 [S] this turn for each enemy unit there.","Riftbound Spell: Against the Odds. [Reaction] (Play any time, even before spells and abilities resolve.)
Give a friendly unit at a battlefield +2 [S] this turn for each enemy unit there.",
Armed Assailant,https://riftdecks.com/cards/details-armed-assailant,SFD-002/221,common,fury,,unit,noxus,,,,,,6,6,C,6C,6,"[Accelerate]  (You may pay \[1]\[C] as an additional cost to have me enter ready.) 
[Weaponmaster]  (When you play me, you may [Equip] one of your Equipment to me for [A] less, even if it's already attached.) ","Riftbound Unit: Armed Assailant. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.)
[Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for [A] less, even if it's already attached.)",
Blood Rush,https://riftdecks.com/cards/details-blood-rush,SFD-003/221,common,fury,,spell,,,,,,,1,1,,1,,"[Action]  (Play on your turn or in showdowns.) [Repeat] [1]  (You may pay the additional cost to repeat this spell's effect.) 
Give a unit [Assault 2].  (+2 [S] while it's an attacker.) ","Riftbound Spell: Blood Rush. [Action] (Play on your turn or in showdowns.)
[Repeat] [1] (You may pay the additional cost to repeat this spell's effect.)
Give a unit [Assault 2]. (+2 [S] while it's an attacker.)",
Bushwhack,https://riftdecks.com/cards/details-bushwhack,SFD-004/221,common,fury,,spell,,,,,,,2,2,C,2C,,"[Hidden]  (Hide now for [A] to react with later for [0].) 
Friendly units enter ready this turn. Play a Gold gear token exhausted.","Riftbound Spell: Bushwhack. [Hidden] (Hide now for [A] to react with later for [0].)
Friendly units enter ready this turn. Play a Gold gear token exhausted.",
Detonate,https://riftdecks.com/cards/details-detonate,SFD-005/221,common,fury,,spell,,,,,,,1,1,C,1C,,Kill a gear. Its controller draws 2.,Riftbound Spell: Detonate. Kill a gear. Its controller draws 2.,
Eager Drakehound,https://riftdecks.com/cards/details-eager-drakehound,SFD-006/221,common,fury,,unit,dog,dragon,noxus,,,,3,3,C,3C,3,I enter ready.,Riftbound Unit: Eager Drakehound. I enter ready.,
Gem Jammer,https://riftdecks.com/cards/details-gem-jammer,SFD-007/221,common,fury,,unit,mech,bandlecity,,,,,2,2,,2,2,"When you play me, give a unit [Ganking] this turn.  (It can move from battlefield to battlefield.) ","Riftbound Unit: Gem Jammer. When you play me, give a unit [Ganking] this turn. (It can move from battlefield to battlefield.)",
Sentinel Adept,https://riftdecks.com/cards/details-sentinel-adept,SFD-008/221,common,fury,,unit,shadowisles,sentinel,,,,,3,3,,3,3,"[Weaponmaster]  (When you play me, you may [Equip] one of your Equipment to me for [A] less, even if it's already attached.) ","Riftbound Unit: Sentinel Adept. [Weaponmaster] (When you play me, you may [Equip] one of your Equipment to me for [A] less, even if it's already attached.)",
Serrated Dirk,https://riftdecks.com/cards/details-serrated-dirk,SFD-009/221,common,fury,,gear,equipment,,,,,,1,1,,1,,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Serrated Dirk. [Equip] [C] ([C]: Attach this to a unit you control.),
Void Drone,https://riftdecks.com/cards/details-void-drone,SFD-010/221,common,fury,,unit,thevoid,,,,,,3,3,,3,3,I cost [2] less to play from anywhere other than your hand.,Riftbound Unit: Void Drone. I cost [2] less to play from anywhere other than your hand.,
Angle Shot,https://riftdecks.com/cards/details-angle-shot,SFD-011/221,uncommon,fury,,spell,,,,,,,2,2,,2,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
Choose a unit and an Equipment with the same controller. Attach that Equipment to that unit or detach that Equipment from that unit. Draw 1.","Riftbound Spell: Angle Shot. [Reaction] (Play any time, even before spells and abilities resolve.)
Choose a unit and an Equipment with the same controller. Attach that Equipment to that unit or detach that Equipment from that unit. Draw 1.",
Battering Ram,https://riftdecks.com/cards/details-battering-ram,SFD-012/221,uncommon,fury,,unit,trifarian,noxus,,,,,5,5,,5,5,"I cost [1] less for each card you've played this turn, to a minimum of [1].","Riftbound Unit: Battering Ram. I cost [1] less for each card you've played this turn, to a minimum of [1].",
Blast Corps Cadet,https://riftdecks.com/cards/details-blast-corps-cadet,SFD-013/221,uncommon,fury,,unit,piltover,,,,,,2,2,,2,2,"You may pay \[1]\[C] as an additional cost to play me.
When you play me, if you paid the additional cost, deal 2 to a unit at a battlefield.","Riftbound Unit: Blast Corps Cadet. You may pay [1][C] as an additional cost to play me.
When you play me, if you paid the additional cost, deal 2 to a unit at a battlefield.",
Minotaur Reckoner,https://riftdecks.com/cards/details-minotaur-reckoner,SFD-014/221,uncommon,fury,,unit,noxus,,,,,,5,5,,5,5,Units can't move to base.,Riftbound Unit: Minotaur Reckoner. Units can't move to base.,
Perched Grimwyrm,https://riftdecks.com/cards/details-perched-grimwyrm,SFD-015/221,uncommon,fury,,unit,dragon,shadowisles,,,,,4,4,,4,5,Play me only to a battlefield you conquered this turn.  (You can't play me anywhere else.) ,Riftbound Unit: Perched Grimwyrm. Play me only to a battlefield you conquered this turn. (You can't play me anywhere else.),
Recurve Bow,https://riftdecks.com/cards/details-recurve-bow,SFD-016/221,uncommon,fury,,gear,equipment,,,,,,2,2,,2,,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Recurve Bow. [Equip] [C] ([C]: Attach this to a unit you control.),
Sudden Storm,https://riftdecks.com/cards/details-sudden-storm,SFD-017/221,uncommon,fury,,spell,,,,,,,3,3,,3,,"[Hidden]** ** (Hide now for [A] to react with later for [0].) 
[Action]  (Play on your turn or in showdowns.) 
Deal 2 to a unit at a battlefield. If it's attacking, deal 4 to it instead.","Riftbound Spell: Sudden Storm. [Hidden] (Hide now for [A] to react with later for [0].)
[Action] (Play on your turn or in showdowns.)Deal 2 to a unit at a battlefield. If it's attacking, deal 4 to it instead.",
Void Hatchling,https://riftdecks.com/cards/details-void-hatchling,SFD-018/221,uncommon,fury,,unit,thevoid,,,,,,2,2,,2,2,"If you would reveal cards from a deck, look at the top card first. You may recycle it. Then reveal those cards.","Riftbound Unit: Void Hatchling. If you would reveal cards from a deck, look at the top card first. You may recycle it. Then reveal those cards.",
Assembly Rig,https://riftdecks.com/cards/details-assembly-rig,SFD-019/221,rare,fury,,gear,,,,,,,4,4,,4,,"\[1]\[C], Recycle a unit from your trash, [T]: Play a 3 [S] Mech unit token to your base.","Riftbound Gear: Assembly Rig. [1][C], Recycle a unit from your trash, [T]: Play a 3 [S] Mech unit token to your base.",
"Draven, Vanquisher",https://riftdecks.com/cards/details-draven-vanquisher,SFD-020a/221,showcase,fury,,unit,draven,noxus,,,,champion,4,4,,4,4,"When I win a combat, play a Gold gear token exhausted.
When I attack or defend, you may pay [C]. If you do, give me +2 [S] this turn.","Riftbound Unit: Draven, Vanquisher. When I win a combat, play a Gold gear token exhausted.
When I attack or defend, you may pay [C]. If you do, give me +2 [S] this turn.",
Ferrous Forerunner,https://riftdecks.com/cards/details-ferrous-forerunner,SFD-021/221,rare,fury,,unit,mech,yordle,bandlecity,,,,6,6,C,6C,6,"[Deathknell] — Play two 3 [S] Mech unit tokens to your base.  (When I die, get the effect.) ","Riftbound Unit: Ferrous Forerunner. [Deathknell] — Play two 3 [S] Mech unit tokens to your base. (When I die, get the effect.)",
Long Sword,https://riftdecks.com/cards/details-long-sword,SFD-022/221,rare,fury,,gear,equipment,,,,,,2,2,C,2C,2,"[Quick-Draw]  (This has [Reaction]. When you play it, attach it to a unit you control.) 
[Equip] [C]  ([C]: Attach this to a unit you control.) ","Riftbound Gear: Long Sword. [Quick-Draw] (This has [Reaction]. When you play it, attach it to a unit you control.)
[Equip] [C] ([C]: Attach this to a unit you control.)",
Piercing Light,https://riftdecks.com/cards/details-piercing-light,SFD-023/221,rare,fury,,spell,,,,,,,2,2,C,2C,,"[Repeat] \[2]\[C]  (You may pay the additional cost to repeat this spell's effect.) 
Deal 2 to a unit at a battlefield, then deal 2 to up to one other unit.","Riftbound Spell: Piercing Light. [Repeat] [2][C] (You may pay the additional cost to repeat this spell's effect.)Deal 2 to a unit at a battlefield, then deal 2 to up to one other unit.",
"Rell, Magnetic",https://riftdecks.com/cards/details-rell-magnetic,SFD-024/221,rare,fury,,unit,rell,noxus,,,,champion,4,4,,4,4,"Tank  (I must be assigned combat damage first.) 
When I attack, you may play an Equipment with Energy cost no more than [2], ignoring its cost, and attach it to me.","Riftbound Unit: Rell, Magnetic. Tank (I must be assigned combat damage first.)
When I attack, you may play an Equipment with Energy cost no more than [2], ignoring its cost, and attach it to me.",
"Rengar, Pouncing",https://riftdecks.com/cards/details-rengar-pouncing,SFD-025/221,rare,fury,,unit,cat,rengar,ixtal,,,champion,3,3,C,3C,3,"[Reaction]  (Play any time, even before spells and abilities resolve, including to a battlefield you control.) 
[Assault 2]  (+2 [S] while I'm an attacker.) 
I can be played to a battlefield you're attacking.","Riftbound Unit: Rengar, Pouncing. [Reaction] (Play any time, even before spells and abilities resolve, including to a battlefield you control.)
[Assault 2] (+2 [S] while I'm an attacker.)
I can be played to a battlefield you're attacking.",
"Rumble, Hotheaded",https://riftdecks.com/cards/details-rumble-hotheaded,SFD-026/221,rare,fury,,unit,mech,yordle,rumble,bandlecity,,champion,4,4,,4,4,"Your Mechs each have [Assault].  (+1 [S] while we're attackers.) 
When I conquer, you may recycle another friendly unit to play a Mech from your trash. Reduce its Energy cost by the Might of the unit you recycled.","Riftbound Unit: Rumble, Hotheaded. Your Mechs each have [Assault]. (+1 [S] while we're attackers.)
When I conquer, you may recycle another friendly unit to play a Mech from your trash. Reduce its Energy cost by the Might of the unit you recycled.",
Dunebreaker,https://riftdecks.com/cards/details-dunebreaker,SFD-027/221,epic,fury,,unit,thevoid,,,,,,7,7,C,7C,7,"If you have two or fewer cards in your hand, I enter ready.
When I hold, draw 2.","Riftbound Unit: Dunebreaker. If you have two or fewer cards in your hand, I enter ready.
When I hold, draw 2.",
"Lucian, Gunslinger",https://riftdecks.com/cards/details-lucian-gunslinger,SFD-028/221,epic,fury,,unit,lucian,demacia,sentinel,,,champion,3,3,,3,2,"[Assault]  (+1 [S] while I'm an attacker.) 
When I attack, deal damage equal to my [Assault] to an enemy unit here.","Riftbound Unit: Lucian, Gunslinger. [Assault] (+1 [S] while I'm an attacker.)
When I attack, deal damage equal to my [Assault] to an enemy unit here.",
"Rek'Sai, Breacher",https://riftdecks.com/cards/details-reksai-breacher,SFD-029/221,epic,fury,,unit,reksai,thevoid,,,,champion,3,3,,3,3,[Accelerate]  (You may pay \[1]\[C] as an additional cost to have me enter ready.)  [Assault]  (+1 [S] while I'm an attacker.)  Friendly units played from anywhere other than a player's hand have [Accelerate].,"Riftbound Unit: Rek'Sai, Breacher. [Accelerate] (You may pay [1][C] as an additional cost to have me enter ready.) [Assault] (+1 [S] while I'm an attacker.) Friendly units played from anywhere other than a player's hand have [Accelerate].",
Skyfall of Areion,https://riftdecks.com/cards/details-skyfall-of-areion,SFD-030/221,epic,fury,,gear,equipment,,,,,,3,3,,3,2,[Equip] \[1]\[C]  (\[1]\[C]: Attach this to a unit you control.) ,Riftbound Gear: Skyfall of Areion. [Equip] [1][C] ([1][C]: Attach this to a unit you control.),
Desert's Call,https://riftdecks.com/cards/details-deserts-call,SFD-031/221,common,calm,,spell,,,,,,,2,2,,2,,[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.)  Play a 2 [S] Sand Soldier unit token.,Riftbound Spell: Desert's Call. [Repeat] [2] (You may pay the additional cost to repeat this spell's effect.) Play a 2 [S] Sand Soldier unit token.,
Disarming Rake,https://riftdecks.com/cards/details-disarming-rake,SFD-032/221,common,calm,,unit,demacia,,,,,,3,3,C,3C,2,"When you play me, you may kill a gear.","Riftbound Unit: Disarming Rake. When you play me, you may kill a gear.",
Doran's Shield,https://riftdecks.com/cards/details-dorans-shield,SFD-033/221,common,calm,,gear,equipment,,,,,,1,1,,1,1,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Doran's Shield. [Equip] [C] ([C]: Attach this to a unit you control.),
Feral Strength,https://riftdecks.com/cards/details-feral-strength,SFD-034/221,common,calm,,spell,,,,,,,2,2,,2,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.) 
Give a unit +2 [S] this turn.","Riftbound Spell: Feral Strength. [Reaction] (Play any time, even before spells and abilities resolve.)
[Repeat] [2] (You may pay the additional cost to repeat this spell's effect.)
Give a unit +2 [S] this turn.",
Guardian of the Passage,https://riftdecks.com/cards/details-guardian-of-the-passage,SFD-035/221,common,calm,,unit,spirit,shadowisles,,,,,6,6,,6,6,"When I hold, you may return a unit or gear from your trash to your hand.","Riftbound Unit: Guardian of the Passage. When I hold, you may return a unit or gear from your trash to your hand.",
Lonely Poro,https://riftdecks.com/cards/details-lonely-poro,SFD-036/221,common,calm,,unit,poro,freljord,,,,,2,2,,2,2,"[Deathknell] — If I died alone, draw 1.  (When I die, get the effect. I'm alone if there are no other friendly units here.) ","Riftbound Unit: Lonely Poro. [Deathknell] — If I died alone, draw 1. (When I die, get the effect. I'm alone if there are no other friendly units here.)",
Navori Scout,https://riftdecks.com/cards/details-navori-scout,SFD-037/221,common,calm,,unit,yordle,ionia,,,,,4,4,,4,4,[Deflect]  (Opponents must pay [A] to choose me with a spell or ability.) ,Riftbound Unit: Navori Scout. [Deflect] (Opponents must pay [A] to choose me with a spell or ability.),
Ribbon Dancer,https://riftdecks.com/cards/details-ribbon-dancer,SFD-038/221,common,calm,,unit,ionia,,,,,,3,3,,3,3,"When I move to a battlefield, give another friendly unit +1 [S] this turn.","Riftbound Unit: Ribbon Dancer. When I move to a battlefield, give another friendly unit +1 [S] this turn.",
Royal Entourage,https://riftdecks.com/cards/details-royal-entourage,SFD-039/221,common,calm,,unit,shurima,,,,,,3,3,C,3C,4,"When you play me, ready or exhaust a legend.","Riftbound Unit: Royal Entourage. When you play me, ready or exhaust a legend.",
Thwonk!,https://riftdecks.com/cards/details-thwonk,SFD-040/221,common,calm,,spell,,,,,,,2,2,,2,,"[Action]  (Play on your turn or in showdowns.) 
[Repeat] [2]  (You may pay the additional cost to repeat this spell's effect.) 
Stun an attacking unit.  (It doesn't deal combat damage this turn.) ","Riftbound Spell: Thwonk!. [Action] (Play on your turn or in showdowns.)
[Repeat] [2] (You may pay the additional cost to repeat this spell's effect.)
Stun an attacking unit. (It doesn't deal combat damage this turn.)",
Apprentice Smith,https://riftdecks.com/cards/details-apprentice-smith,SFD-041/221,uncommon,calm,,unit,freljord,,,,,,2,2,,2,2,"When I move, reveal the top card of your Main Deck. If it's a gear, draw it. Otherwise, recycle it.","Riftbound Unit: Apprentice Smith. When I move, reveal the top card of your Main Deck. If it's a gear, draw it. Otherwise, recycle it.",
Brutalizer,https://riftdecks.com/cards/details-brutalizer,SFD-042/221,uncommon,calm,,gear,equipment,,,,,,2,2,,2,1,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Brutalizer. [Equip] [C] ([C]: Attach this to a unit you control.),
Emperor's Divide,https://riftdecks.com/cards/details-emperors-divide,SFD-043/221,uncommon,calm,,spell,,,,,,,2,2,,2,,[Hidden]  (Hide now for [A] to react with later for [0].)  [Action]  (Play on your turn or in showdowns.)  Move any number of friendly units at a battlefield to their base.,Riftbound Spell: Emperor's Divide. [Hidden] (Hide now for [A] to react with later for [0].) [Action] (Play on your turn or in showdowns.) Move any number of friendly units at a battlefield to their base.,
Legion Quartermaster,https://riftdecks.com/cards/details-legion-quartermaster,SFD-044/221,uncommon,calm,,unit,trifarian,noxus,,,,,3,3,,3,4,"As an additional cost to play me, return a friendly gear to its owner's hand.","Riftbound Unit: Legion Quartermaster. As an additional cost to play me, return a friendly gear to its owner's hand.",
Not So Fast,https://riftdecks.com/cards/details-not-so-fast,SFD-045/221,uncommon,calm,,spell,,,,,,,2,2,C,2C,,"[Reaction]  (Play any time, even before spells and abilities resolve.) 
Counter an enemy spell or ability that chooses a friendly unit or gear.","Riftbound Spell: Not So Fast. [Reaction] (Play any time, even before spells and abilities resolve.)
Counter an enemy spell or ability that chooses a friendly unit or gear.",
Poro Snax,https://riftdecks.com/cards/details-poro-snax,SFD-046/221,uncommon,calm,,gear,,,,,,,1,1,C,1C,,"When you play this, draw 1.
\[1]\[C], [T], Kill this: Draw 1.","Riftbound Gear: Poro Snax. When you play this, draw 1.
[1][C], [T], Kill this: Draw 1.",
Simian Ancestor,https://riftdecks.com/cards/details-simian-ancestor,SFD-047/221,uncommon,calm,,unit,ionia,,,,,,5,5,C,5C,5,"When you buff me, ready me.","Riftbound Unit: Simian Ancestor. When you buff me, ready me.",
Stellacorn Herder,https://riftdecks.com/cards/details-stellacorn-herder,SFD-048/221,uncommon,calm,,unit,mounttargon,,,,,,4,4,,4,3,"When I move, draw 1.","Riftbound Unit: Stellacorn Herder. When I move, draw 1.",
"Azir, Ascendant",https://riftdecks.com/cards/details-azir-ascendant,SFD-050/221,rare,calm,,unit,bird,azir,shurima,,,champion,6,6,C,6C,6,"[C]: [Action] — Choose a unit you control. Move me to its location and it to my original location. If it's equipped, you may attach one of its Equipment to me. Use only once per turn.","Riftbound Unit: Azir, Ascendant. [C]: [Action] — Choose a unit you control. Move me to its location and it to my original location. If it's equipped, you may attach one of its Equipment to me. Use only once per turn.",
Guardian Angel,https://riftdecks.com/cards/details-guardian-angel,SFD-051/221,rare,calm,,gear,equipment,,,,,,2,2,,2,1,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Guardian Angel. [Equip] [C] ([C]: Attach this to a unit you control.),
Heart of Dark Ice,https://riftdecks.com/cards/details-heart-of-dark-ice,SFD-052/221,rare,calm,,gear,,,,,,,3,3,C,3C,,[T]: Give a unit +3 [S] this turn.,Riftbound Gear: Heart of Dark Ice. [T]: Give a unit +3 [S] this turn.,
"Janna, Savior",https://riftdecks.com/cards/details-janna-savior,SFD-053/221,rare,calm,,unit,janna,zaun,,,,champion,3,3,C,3C,3,"[Reaction]  (Play any time, even before spells and abilities resolve, including to a battlefield you control.) 
When you play me, heal your units here, then move an enemy unit from here to its base.","Riftbound Unit: Janna, Savior. [Reaction] (Play any time, even before spells and abilities resolve, including to a battlefield you control.)
When you play me, heal your units here, then move an enemy unit from here to its base.",
